Etiqueta 2,Etiqueta 3
Educación,Manejo de recursos
Educación,Acoso escolar
Educación,Violencia de profesores
Educación,Agresión sexual
Educación,Infraestructura escolar
Educación,Aumento de docentes
Educación,N/A
Educación,Prescolar
Educación,Primaria
Educación,Secundaria
Educación,Media Superior
Educación,Superior
Educación,Otra
Salud,Pacientes familiares
Salud,Escasez
Salud,Temas del personal
Salud,Sindicatos
Salud,Otra
Agua,Contaminación
Agua,Escacez
Agua,Fugas
Agua,Huachicoleo
Agua,Derechos de uso
Agua,Infraestructura
Agua,Desazolve
Agua,Monitoreo de cuerpos de agua
Migración,Inconformidad con presencia
Migración,Retenidos ilegalmente
Agua,Monitoreo de cuerpos de agua
Religión,Peregrinación/rodada
Religión,Conmemoración con presencia
Religión,Accidentes
Movilidad,Infraestructura
Movilidad,Accidente vehicular
Movilidad,Derroteros
Movilidad,Concesiones
Movilidad,Corralones
Movilidad,infracciones
Movilidad,Regularización
Movilidad,Extorsión
Movilidad,Ciclovía
Justicia,MCCP
Justicia,Procesos judiciales
Justicia,Desplazamiento
Justicia,Feminicidio
Justicia,Desaparición
Justicia,Asesinatos/Homicidio
Justicia,Violencia de género
Justicia,Huachicoleo
Justicia,Atentado
Justicia,Extorsión
Justicia,Agresión sexual
Justicia,Violencia electoral
Justicia,Atropellamiento
Justicia,Carmen Zamora
Justicia,Erika Nicteha Flores Gutiérrez
Justicia,Temas ejidales
Justicia,Asaltos
Justicia,Otra
Animales,Animales
Política,Cabildos
Política,Asuntos legislativos
Siniestros,Accidente vehicular
Siniestros,Explosión
Siniestros,Incendio
Siniestros,Fuga de gas
Desastres Naturales,Sismo
Desastres Naturales,Lluvia/granizo
Desastres Naturales,Inundaciones
Desastres Naturales,Incendios
Desastres Naturales,Socavón
Desastres Naturales,Nieve
Desastres Naturales,Deslave
Desastres Naturales,Desbordamiento de río
Desastres Naturales,Caída de ceniza
Desastres Naturales,Encharcamientos
Medio Ambiente,Tala de árboles
Medio Ambiente,Rellenos sanitarios
Medio Ambiente,Contaminación de cuerpos de agua
Obras/Servicios,Drenaje
Obras/Servicios,Luminarias
Obras/Servicios,Baches
Obras/Servicios,Puente peatonal
Obras/Servicios,Recolección de basura
Límites Territoriales,Límites Territoriales
Laboral,Pública
Laboral,Privada
Laboral,Otra